nws_id,physicalelement,datetime(GMT),sitename,wfo,latitude,longitude,soiltemp(F),depth(in),afos_id,extremum
GRJM4,TB,10/1/2009 15:00,Grand Junction 1W,GRR,42.4,-86.1,49,4,KGRRRR2GRR,Z
HFDM4,TB,10/1/2009 15:00,Hartford - MSU Ag Mesonet,GRR,42.22972222,-86.15583333,49,4,KGRRRR2GRR,Z
HRTM4,TB,10/1/2009 15:00,Hart - MI St Police,GRR,43.68861111,-86.37444444,45,4,KGRRRR2GRR,Z
HVLM4,TB,10/1/2009 15:00,Hudsonville - MSU Ag Mesonet,GRR,42.85944444,-85.88944444,52,4,KGRRRR2GRR,Z
ILX,TB,10/1/2009 12:00,Lincoln - Cntrl Il WFO,ILX,40.15138889,-89.33805556,63,4,KILXRR3ILX,N
IUKI2,TB,10/1/2009 12:00,Iuka 12SW,LSX,38.49305556,-88.97027778,56,4,KLSXRR3LSX,Z
LUNM4,TB,10/1/2009 15:00,Ludington - MAWN Ag Mesonet Site,GRR,43.90416667,-86.37972222,49,4,KGRRRR2GRR,Z
MMTI2,TB,10/1/2009 13:00,Monmouth 4NW - U Illinois Research Cntr,DVN,40.93611111,-90.71972222,59,4,KDVNRR3DVN,N
MRRM5,TB,10/1/2009 13:00,Morris 2E - WC Exp Stn,MPX,45.59027778,-95.87472222,50,4,KMPXRR3MPX,N
MUNM4,TB,10/1/2009 15:00,Mendon - MAWN - Ag Mesonet Site,IWX,41.98333333,-85.43333333,55,4,KGRRRR2GRR,Z
NWFM4,TB,10/1/2009 12:00,Nw Michigan Research Farm,APX,44.88305556,-85.67527778,51,4,KAPXRR3APX,N
OGDI2,TB,10/1/2009 11:00,Ogden,ILX,40.11,-87.95666667,60,4,KILXRR3ILX,Z
PDHK2,TB,10/1/2009 5:00,West Paducah 2SW,PAH,37.06833333,-88.7725,76,4,KPAHRR3PAH,Z
PEYI2,TB,10/1/2009 13:20,Perry 6NW,LSX,39.80583333,-90.82361111,52,4,KLSXRR3LSX,N
PYVI3,TB,10/1/2009 13:05,Perrysville,IND,40.07,-87.5,53,4,KINDRR3IND,N
SIUI2,TB,9/30/2009 21:00,Belleville - Siu Ag Farm,LSX,38.52,-89.84666667,57,4,KLSXRR3LSX,N
SNWI2,TB,10/1/2009 12:00,Streamwood,LOT,42.02555556,-88.17833333,51,4,KLOTRR3LOT,N
SPOM4,TB,10/1/2009 15:00,Sparta 4SW - MSU Ag Mesonet,GRR,43.11722222,-85.75416667,50,4,KGRRRR2GRR,Z
THTI3,TB,10/1/2009 12:00,Terre Haute,IND,39.35,-87.42,54,4,KINDRR3IND,N
WANI3,TB,10/1/2009 12:00,Wanatah 2WNW,LOT,41.44361111,-86.93,56,4,KLOTRR3LOT,N
WASM5,TB,10/1/2009 13:00,Waseca - Exp Stn,MPX,44.0725,-93.53277778,52,4,KMPXRR3MPX,N
WATI2,TB,10/1/2009 12:00,Watseka 2NW,LOT,40.79277778,-87.75555556,53,4,KLOTRR3LOT,N
WEOM4,TB,10/1/2009 15:00,West Olive 5NE - MSU Ag Mesonet,GRR,42.97,-86.07,51,4,KGRRRR2GRR,Z
WHRM5,TB,10/1/2009 13:00,White Rock Dam (Wheaton 5NW)/Mud Lk,ABR,45.86194444,-96.565,52,4,KABRRR3ABR,Z
WISI2,TB,10/1/2009 0:00,Windsor,ILX,39.43805556,-88.59861111,64,4,KILXRR3ILX,N
WLFI3,TB,10/1/2009 12:00,West Lafayette,IND,40.47,-87,56,4,KINDRR3IND,N
ABR,TB,10/1/2009 13:00,Aberdeen Muni Arpt (WFO & ASOS),ABR,45.45583333,-98.41277778,56,8,KABRRR3ABR,Z
ATKM5,TB,9/28/2009 12:00,Aitkin 2E,DLH,46.53388889,-93.70305556,56,8,KDLHRR3DLH,Z
CSAI4,TB,10/1/2009 12:06,Castana Exp. Farm,OAX,42.06666667,-95.81666667,59,8,KOAXRR3OAX,Z
